Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,3420.250000,3420.250000,3420.250000,3420.250000,3420.250000,0
2021-01-04,3420.250000,3438.090088,3381.986816,3420.250000,3420.250000,0
2021-01-05,3447.750000,3467.550049,3428.679932,3447.750000,3447.750000,0
2021-01-06,3442.250000,3442.250000,3401.046387,3442.250000,3442.250000,0
2021-01-07,3412.800049,3477.570068,3374.599121,3412.800049,3412.800049,0
2021-01-08,3488.239990,3497.129883,3449.190674,3488.239990,3488.239990,0
2021-01-11,3467.149902,3521.949951,3467.149902,3456.441650,3456.441650,0
2021-01-12,3499.250000,3499.250000,3459.108154,3499.250000,3499.250000,0
2021-01-13,3475.250000,3487.580078,3467.590088,3475.250000,3475.250000,0
2021-01-14,3475.540039,3480.270020,3436.100830,3475.540039,3475.540039,0
2021-01-15,3444.689941,3475.159912,3405.766602,3444.689941,3444.689941,0
2021-01-18,3460.360107,3479.899902,3416.957764,3417.608398,3417.608398,0
2021-01-19,3476.260010,3494.449951,3453.600098,3476.260010,3476.260010,0
2021-01-20,3489.909912,3489.909912,3464.590088,3489.909912,3489.909912,0
2021-01-21,3465.260010,3482.040039,3424.739746,3465.260010,3465.260010,0
2021-01-22,3480.040039,3534.300049,3442.357666,3480.040039,3480.040039,0
2021-01-25,3525.959961,3607.219971,3486.938232,3525.959961,3525.959961,0
2021-01-26,3586.260010,3603.750000,3545.228516,3586.260010,3586.260010,0
2021-01-27,3611.760010,3661.729980,3608.189941,3611.760010,3611.760010,0
2021-01-28,3604.260010,3629.510010,3563.409912,3604.260010,3604.260010,0
2021-01-29,3558.260010,3577.800049,3514.446289,3558.260010,3558.260010,0
2021-02-01,3567.260010,3572.979980,3519.127197,3567.260010,3567.260010,0
2021-02-02,3571.260010,3571.260010,3509.550049,3571.260010,3571.260010,0
2021-02-03,3527.459961,3534.050049,3489.632813,3527.000000,3527.000000,0
2021-02-04,3533.959961,3574.310059,3492.337402,3533.959961,3533.959961,0
2021-02-05,3556.439941,3556.439941,3516.590820,3556.439941,3556.439941,0
2021-02-08,3553.750000,3564.750000,3500.010498,3553.750000,3553.750000,0
2021-02-09,3569.250000,3591.040039,3530.626953,3569.250000,3569.250000,0
2021-02-10,3574.550049,3584.750000,3536.945557,3574.550049,3574.550049,0
2021-02-11,3557.750000,3557.750000,3516.469971,3557.750000,3557.750000,0
2021-02-12,3524.750000,3536.790039,3485.753418,3524.750000,3524.750000,0
2021-02-15,3494.750000,3496.250000,3457.056885,3494.750000,3494.750000,0
2021-02-16,3494.750000,3524.030029,3491.239990,3494.750000,3494.750000,0
2021-02-17,3525.080078,3562.830078,3479.666748,3525.080078,3525.080078,0
2021-02-18,3526.449951,3546.649902,3487.984863,3526.449951,3526.449951,0
2021-02-19,3545.580078,3559.330078,3506.381104,3545.580078,3545.580078,0
2021-02-22,3570.050049,3619.250000,3530.613770,3511.893311,3511.893311,0
2021-02-23,3591.750000,3594.979980,3552.474609,3591.750000,3591.750000,0
2021-02-24,3592.750000,3592.750000,3552.552734,3592.750000,3592.750000,0
2021-02-25,3563.250000,3598.879883,3562.000000,3563.250000,3563.250000,0
2021-02-26,3608.699951,3643.010010,3568.090332,3608.699951,3608.699951,0
2021-03-01,3645.250000,3645.260010,3574.672607,3645.250000,3645.250000,0
2021-03-02,3617.750000,3660.250000,3578.952637,3617.750000,3617.750000,0
2021-03-03,3654.750000,3679.870117,3651.459961,3654.750000,3654.750000,0
2021-03-04,3679.340088,3679.340088,3631.459961,3680.000000,3680.000000,0
2021-03-05,3643.149902,3668.610107,3601.286621,3643.149902,3643.149902,0
2021-03-08,3633.399902,3654.429932,3602.750000,3633.399902,3633.399902,0
2021-03-09,3602.949951,3610.000000,3562.931641,3602.949951,3602.949951,0
2021-03-10,3590.750000,3592.260010,3548.729980,3590.750000,3590.750000,0
2021-03-11,3551.000000,3551.000000,3511.766846,3551.000000,3551.000000,0
2021-03-12,3554.250000,3585.229980,3512.438965,3554.250000,3554.250000,0
2021-03-15,3574.250000,3585.540039,3509.715820,3503.314941,3503.314941,0
2021-03-16,3557.250000,3559.649902,3517.264404,3557.250000,3557.250000,0
2021-03-17,3557.750000,3579.110107,3556.229980,3557.750000,3557.750000,0
2021-03-18,3569.250000,3589.459961,3527.826172,3569.250000,3569.250000,0
2021-03-19,3545.350098,3559.669922,3536.449951,3545.000000,3545.000000,0
2021-03-22,3557.149902,3557.649902,3511.420166,3510.593018,3510.593018,0
2021-03-23,3557.649902,3599.719971,3553.250000,3557.649902,3557.649902,0
2021-03-24,3617.750000,3639.750000,3607.250000,3617.750000,3617.750000,0
2021-03-25,3647.649902,3666.479980,3646.500000,3647.649902,3647.649902,0
2021-03-26,3666.250000,3674.909912,3639.600098,3666.250000,3666.250000,0
2021-03-29,3688.139893,3713.250000,3649.143799,3688.139893,3688.139893,0
2021-03-30,3717.239990,3749.340088,3676.409180,3717.239990,3717.239990,0
2021-03-31,3728.250000,3728.250000,3665.750000,3728.250000,3728.250000,0
2021-04-01,3659.949951,3672.000000,3619.530518,3659.949951,3659.949951,0
2021-04-02,3659.949951,3659.949951,3653.750000,3659.949951,3659.949951,0
2021-04-05,3659.949951,3659.949951,3615.217773,3659.949951,3659.949951,0
2021-04-06,3672.250000,3672.250000,3631.844238,3672.250000,3672.250000,0
2021-04-07,3634.750000,3656.560059,3596.044434,3634.750000,3634.750000,0
2021-04-08,3652.840088,3652.840088,3612.307617,3652.840088,3652.840088,0
2021-04-09,3627.300049,3651.419922,3584.540771,3627.300049,3627.300049,0
2021-04-12,3657.750000,3657.750000,3617.904785,3657.750000,3657.750000,0
2021-04-13,3663.250000,3673.540039,3622.854980,3663.250000,3663.250000,0
2021-04-14,3666.750000,3678.879883,3626.841553,3667.000000,3667.000000,0
2021-04-15,3655.050049,3655.050049,3611.550049,3655.050049,3655.050049,0
2021-04-16,3610.250000,3618.750000,3570.219238,3610.250000,3610.250000,0
2021-04-19,3576.543457,3612.070068,3574.646729,3573.736572,3573.736572,0
2021-04-20,3625.250000,3641.750000,3584.573730,3625.250000,3625.250000,0
2021-04-21,3641.250000,3649.840088,3636.979980,3641.250000,3641.250000,0
2021-04-22,3612.250000,3635.469971,3571.570801,3612.250000,3612.250000,0
2021-04-23,3633.600098,3649.280029,3626.830078,3633.600098,3633.600098,0
2021-04-26,3626.750000,3662.459961,3587.610107,3626.750000,3626.750000,0
2021-04-27,3693.260010,3730.250000,3594.031006,3693.260010,3693.260010,0
2021-04-28,3716.500000,3721.820068,3676.325684,3716.000000,3716.000000,0
2021-04-29,3694.260010,3725.270020,3653.877197,3694.260010,3694.260010,0
2021-04-30,3713.360107,3745.959961,3672.550537,3713.360107,3713.360107,0
2021-05-03,3751.560059,3828.550049,3711.766846,3751.560059,3751.560059,0
2021-05-04,3803.199951,3842.300049,3762.448730,3803.199951,3803.199951,0
2021-05-05,3827.750000,3860.239990,3812.090088,3827.750000,3827.750000,0
2021-05-06,3849.260010,3854.570068,3776.610107,3849.260010,3849.260010,0
2021-05-07,3802.260010,3802.260010,3755.320068,3801.000000,3801.000000,0
2021-05-10,3748.260010,3749.750000,3707.149902,3748.260010,3748.260010,0
2021-05-11,3705.060059,3724.780029,3665.605957,3705.060059,3705.060059,0
2021-05-12,3710.260010,3739.199951,3670.253662,3710.260010,3710.260010,0
2021-05-13,3748.760010,3750.010010,3708.281250,3748.760010,3748.760010,0
2021-05-14,3719.360107,3720.689941,3670.949951,3719.360107,3719.360107,0
2021-05-17,3683.760010,3687.250000,3645.054932,3683.760010,3683.760010,0
2021-05-18,3683.760010,3684.300049,3644.090088,3683.760010,3683.760010,0
2021-05-19,3658.260010,3692.159912,3620.005127,3658.260010,3658.260010,0
2021-05-20,3683.199951,3734.860107,3642.302734,3683.199951,3683.199951,0
2021-05-21,3717.050049,3733.370117,3678.622803,3717.050049,3717.050049,0
2021-05-24,3745.250000,3764.370117,3706.612061,3745.250000,3745.250000,0
2021-05-25,3732.750000,3736.209961,3691.916016,3732.750000,3732.750000,0
2021-05-26,3737.750000,3756.189941,3700.675781,3737.750000,3737.750000,0
2021-05-27,3741.250000,3743.129883,3702.262207,3741.250000,3741.250000,0
2021-05-28,3719.959961,3730.750000,3679.755615,3719.959961,3719.959961,0
2021-05-31,3706.250000,3706.250000,3667.359863,3706.250000,3706.250000,0
2021-06-01,3706.250000,3706.250000,3662.189941,3706.250000,3706.250000,0
2021-06-02,3664.550049,3664.550049,3624.879883,3664.550049,3664.550049,0
2021-06-03,3651.750000,3666.959961,3642.479980,3651.750000,3651.750000,0
2021-06-04,3659.250000,3659.250000,3593.800049,3659.250000,3659.250000,0
2021-06-07,3605.750000,3613.270020,3603.070068,3605.750000,3605.750000,0
2021-06-08,3605.750000,3609.360107,3564.657227,3605.750000,3605.750000,0
2021-06-09,3592.850098,3592.850098,3553.496094,3592.850098,3592.850098,0
2021-06-10,3587.179932,3605.270020,3547.260742,3587.179932,3587.179932,0
2021-06-11,3602.489990,3619.219971,3592.300049,3602.489990,3602.489990,0
2021-06-14,3652.750000,3656.649902,3614.097900,3652.750000,3652.750000,0
2021-06-15,3613.635742,3665.250000,3612.974609,3652.750000,3652.750000,0
2021-06-16,3696.250000,3701.199951,3656.771240,3696.250000,3696.250000,0
